ip,latency
164.90.160.153,96.27914428710938
164.90.160.153,76.82204246520996
164.90.160.153,84.30218696594238
164.90.160.153,88.41800689697266
164.90.160.153,84.50675010681152
164.90.160.153,81.50577545166016
164.90.160.153,104.7968864440918
164.90.160.153,80.72400093078613
164.90.160.153,87.78691291809082
164.90.160.153,90.22116661071777
164.90.160.153,70.66702842712402
164.90.160.153,92.70715713500977
164.90.160.153,120.15104293823242
164.90.160.153,86.09318733215332
164.90.160.153,92.28730201721191
164.90.160.153,75.70719718933105
164.90.160.153,64.80884552001953
164.90.160.153,88.0129337310791
164.90.160.153,79.67805862426758
164.90.160.153,64.72992897033691
164.90.160.153,72.78823852539062
164.90.160.153,86.38501167297363
164.90.160.153,80.9791088104248
164.90.160.153,72.00312614440918
164.90.160.153,76.52711868286133
164.90.160.153,108.75105857849121
164.90.160.153,77.23212242126465
164.90.160.153,102.49686241149902
164.90.160.153,103.83486747741699
164.90.160.153,99.32589530944824
164.90.160.153,89.67018127441406
164.90.160.153,100.84033012390137
164.90.160.153,90.28410911560059
164.90.160.153,107.12599754333496
164.90.160.153,76.22408866882324
164.90.160.153,85.62731742858887
164.90.160.153,67.69108772277832
164.90.160.153,87.16893196105957
164.90.160.153,83.2371711730957
164.90.160.153,90.53421020507812
164.90.160.153,95.78084945678711
164.90.160.153,87.82267570495605
164.90.160.153,105.9720516204834
164.90.160.153,77.01802253723145
164.90.160.153,64.74614143371582
164.90.160.153,102.01811790466309
164.90.160.153,90.78717231750488
164.90.160.153,121.83427810668945
164.90.160.153,78.18984985351562
164.90.160.153,168.56694221496582
164.90.160.153,83.67013931274414
164.90.160.153,74.3861198425293
164.90.160.153,94.12717819213867
164.90.160.153,92.62299537658691
164.90.160.153,113.70491981506348
164.90.160.153,116.03999137878418
164.90.160.153,80.04283905029297
164.90.160.153,88.3629322052002
164.90.160.153,97.07117080688477
164.90.160.153,87.42094039916992
164.90.160.153,73.46796989440918
164.90.160.153,100.81911087036133
164.90.160.153,79.0400505065918
164.90.160.153,88.71293067932129
164.90.160.153,77.0118236541748
164.90.160.153,92.90504455566406
164.90.160.153,112.65087127685547
164.90.160.153,101.97210311889648
164.90.160.153,83.39810371398926
164.90.160.153,77.52180099487305
164.90.160.153,93.86396408081055
164.90.160.153,87.60213851928711
164.90.160.153,92.8189754486084
164.90.160.153,93.03903579711914
164.90.160.153,144.97685432434082
164.90.160.153,73.94099235534668
164.90.160.153,94.1469669342041
164.90.160.153,89.18905258178711
164.90.160.153,95.00312805175781
164.90.160.153,89.83993530273438
164.90.160.153,74.4330883026123
164.90.160.153,92.83709526062012
164.90.160.153,80.56902885437012
164.90.160.153,79.26201820373535
164.90.160.153,112.82086372375488
164.90.160.153,92.69404411315918
164.90.160.153,89.35809135437012
164.90.160.153,89.14041519165039
164.90.160.153,91.7670726776123
164.90.160.153,80.93500137329102
164.90.160.153,108.31093788146973
164.90.160.153,66.55287742614746
164.90.160.153,106.76407814025879
164.90.160.153,90.12198448181152
164.90.160.153,87.71300315856934
164.90.160.153,81.7258358001709
164.90.160.153,83.05978775024414
164.90.160.153,87.95475959777832
164.90.160.153,93.25504302978516
164.90.160.153,71.36988639831543
164.90.160.153,92.03600883483887
164.90.160.153,96.29702568054199
164.90.160.153,108.71005058288574
164.90.160.153,80.00731468200684
164.90.160.153,92.85116195678711
164.90.160.153,101.36699676513672
164.90.160.153,113.433837890625
164.90.160.153,85.55793762207031
164.90.160.153,80.91115951538086
164.90.160.153,81.59589767456055
164.90.160.153,65.93585014343262
164.90.160.153,84.91182327270508
164.90.160.153,97.26738929748535
164.90.160.153,93.77193450927734
164.90.160.153,65.69337844848633
164.90.160.153,97.74303436279297
